gene	Body wall muscle	Intestinal/rectal muscle	Pharyngeal muscle	Pharyngeal epithelia	Pharyngeal gland	Seam cells	Non-seam hypodermis	Rectum	Ciliated sensory neurons	Oxygen sensory neurons	Touch receptor neurons	Cholinergic neurons	GABAergic neurons	Pharyngeal neurons	flp-1(+) interneurons	Other interneurons	Canal associated neurons	Am/PH sheath cells	Socket cells	Excretory cells	Intestine	Germline	Somatic gonad precursors	Distal tip cells	Vulval precursors	Sex myoblasts	Coelomocytes
abu-4	0.207797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.146488	0	0	1.69269	0	0
abu-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abu-6	0.199533	0	65.5085	242.52	0	0.183391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31292	0	0	0	0	0	0
abu-7	0	0	140.743	240.967	0	0.368998	0	0	0	0	0	0	0	0	0	0	8.84588	0	0	0	0	0	0	0	0	0	0
abu-8	1.07324	0	4289.3	15373.3	20.2528	11.1328	32.6756	0	35.5004	0	0	0	0	44.8551	0	0	23.1166	0	0	0	24.1223	0.856334	6.4345	0	2.96933	0	0
abu-9	0.0575385	0	21.6864	15.5637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.223347	0	0	0	0	2.14687
abu-10	0.193676	0	930.338	1211.7	2.11097	0.30401	0.450982	0	0	0	0	0	0	0	0	0	0	0	0	0	12.6605	0.786094	0	0	2.63431	0	2.28689
abu-11	0.676716	0	403.386	711.524	0	1.07153	3.69159	0	1.93744	0	0	0	0	0	0	0	0	0	0	0	9.07191	1.01621	0	0	4.92812	0	0
ace-1	133.503	23.6822	3.99659	15.7155	18.4764	0.960367	1.25355	0	5.68253	0	0	1.88019	0	0	0	63.823	0	7.08122	0	0	1.22395	0	0	0	0	0	0
ace-2	60.462	0.301939	0	69.4428	17.0664	29.254	59.7638	27.2197	22.3682	30.8868	3.09299	224.811	19.5312	15.4598	0	76.4543	0	1.20746	31.9184	228.765	84.9202	1.98066	0	0	0	9.86672	12.3699
ace-3	5.82899	0	56.6329	0	3.44242	2.25175	0	0	6.70988	76.0475	30.1385	126.459	24.4364	70.4093	146.774	348.028	1998.51	0	0	17.0158	1.43031	1.4971	0.850264	2.82353	2.60686	0	0.891498
ace-4	2.21738	0	3.67597	7.96838	0	0.690115	0	0	0	0	0	8.02841	0	51.7555	8.40688	0	165.37	0	0	0	1.77722	1.4789	0	0	0	5.76582	1.94809
acn-1	0.920865	1.98807	13.2617	11.3531	7.16637	445.539	338.156	1757.11	4.08127	16.5173	0	3.3779	0	0	2.44753	0	0	9.07194	217.062	377.941	6.56387	0.884553	5.81682	0	96.2951	0	0
aco-1	13.401	6.04064	86.1042	55.5959	13.4572	207.904	57.1274	44.4262	0	29.6789	36.6471	11.3933	33.7838	47.642	0	13.0482	16.4226	116.653	70.5298	111.283	178.283	1.05428	31.3654	13.0338	92.7166	8.29939	31.1912
aco-2	655.11	202.913	228.3	124.418	119.534	146.601	132.092	120.344	125.721	156.071	106.57	118.009	225.189	73.4251	90.0048	119.79	74.3325	176.813	49.919	56.0794	300.97	169.73	237.028	146.874	293.605	252.816	213.156
acr-2	0.323021	26.9709	0	0	0	0	0	0	0	83.0643	0	110.118	69.7414	16.735	9.49848	10.8007	0	0	0	0	0	0.132165	0.49153	0	0	0	2.47938
acr-3	0.404349	0	0	0	0	0.826791	0	0	0	0	0	0	0	36.3217	0	0	0	0	0	0	0	0	1.6441	0	0	0	0.729809
acr-5	0.133843	0	0	0	0	2.72033	0	0	2.4213	36.6558	0	38.8938	9.22509	89.291	0	99.7661	0	0	2.96528	0	0	0.38561	1.11141	0	0	0	0
acr-6	1.00108	0	0	0	0	2.2642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0364234	0.784877	10.4481	1.55111	0	0
acr-7	5.05633	0	10.7282	0	28.6635	3.90317	2.28743	0	2.55408	0	0	0	0	0	0	0	0	3.08789	5.19997	8.81896	16.2822	0	3.06725	0	30.0974	0	0
acr-8	63.8756	1.54798	0	5.33342	0	1.48068	0	0	0	0	0	4.85331	0	0	0	24.0992	0	0	0	0	0	0.214401	0	0	1.40569	4.33345	4.12373
acr-9	0.74103	0	7.77001	9.73645	0	0.554999	0	0	0	0	0	157.414	1307.14	0	0	0	0	0	0	0	0.646559	0.389342	0.56217	0	0	0	0.836792
acr-10	1.29338	0	0	3.52286	0	0.878809	0.732863	0	0	0	0	0	0	0	0	0	0	0	4.29738	0	1.32811	0.0915045	2.53342	0	0	0	0
acr-11	0.116435	0	3.36573	0	0	0.993103	0	0	0	12.6103	0	0	16.5563	0	0	0	0	0	0	0	8.58355	3.20982	1.02713	78.3622	0	0	0
acr-12	1.24644	0	12.1083	0	0	3.9193	4.2301	0	8.66897	156.306	254.212	108.424	219.203	41.9175	12.5687	37.6444	13.3252	0	2.29712	0	8.4574	0.226754	5.42659	9.99604	1.92898	0.839381	6.08512
acr-14	0.0987135	0	0.6743	0	0	1.13559	0	0	18.335	8.81368	0	118.61	401.086	0	0	0	0	0	0	0	0	0.0629607	0	0	0	4.10075	1.27181
acr-15	28.5491	25.9538	0	0	0	0	0.613441	0	3.7944	0	0	426.753	4.81696	37.0396	0	2.31048	0	0.81009	0	0	0	0.37745	1.02749	0	0	0	0
acr-16	28.201	328.899	0	1.82134	0	0.233943	1.89837	0	0	0	0	206.676	0	0	0	10.0858	37.3995	0	0	0	0	0.905095	0	0	8.4118	0	0
acr-17	0.0590807	0	5.52975	0	2.11097	0	0.881984	0	8.81234	0	0	34.2311	0	144.961	0	149.35	0	0	0	0	0	1.79219	0.498804	0	0.721804	0	1.26308
acr-18	1.12895	0	0	0	0	0.292894	1.55124	0	7.71797	0	0	610.494	0	34.0588	15.501	134.529	0	0	0	40.783	1.57029	0.901924	2.57535	0	0	0	0
acr-19	0.293082	4.46391	0	0	0	0.508793	0	0	12.3128	0	3.09299	116.599	20.6044	253.394	23.8312	0	0	0	0	0	1.96261	0.0290807	0	50.3849	0	0	5.01984
acr-20	1.23006	0	38.1971	0	0	0.530246	2.36191	0	27.6737	4.92296	0	34.1932	0	0	49.3459	12.8258	0	0	5.39246	0	2.7129	1.85001	0	0	0	11.5316	7.91803
acr-21	0.172203	0	0	0	0	0.133828	2.39576	0	0	0	0	35.2556	0	0	0	27.1144	0	1.97244	0	0	0	0.0916831	0	0	0	0	2.52184
lgc-11	0.235244	0	181.693	0	11.0735	0	0.595527	0	0	0	11.834	0	0	0	0	0	0	0	0	0	0	0.109729	0	0	0	0	0
acr-23	27.5513	7.79396	0	0	0	1.12177	0.19395	0	0	0	307.846	43.9877	46.203	0	0	135.021	3.9735	0.615392	5.93056	0	0	0.0534428	0	37.3639	0	0	0
act-1	5312.78	3497.9	1871.39	347.21	113.047	84.9406	61.7384	114.938	178.84	102.396	148.365	169.016	111.943	246.051	139.166	109.363	110.959	188.534	1099.65	487.904	34.314	130.303	189.963	173.254	130.897	290.209	95.8561
act-2	42.3114	92.938	136.348	101.936	157.475	282.633	198.869	284.504	493.104	540.186	392.834	418.419	599.406	414.28	147.737	398.009	100.939	265.196	818.799	287.105	6.89369	614.323	626.113	371.822	425.319	263.824	182.007
act-3	7109.93	6799.08	1228.7	357.711	71.9371	97.7757	84.9439	84.2302	317.441	201.06	341.877	318.332	858.05	286.939	453.304	117.129	91.1849	74.0285	587.746	225.151	51.4253	179.116	278.594	534.425	306.477	1177.65	187.783
act-4	8502.41	12982	3690.27	2276.27	831.789	539.343	236.098	561.208	590.356	1478.1	519.52	1338.98	891.377	1073.53	871.582	2382.97	716.383	909.074	2233.02	1709.89	86.6907	18.7321	866.527	3884.05	1083.46	1280.06	865.816
act-5	10.8608	6.39587	9.15485	10.9802	0	4.6142	5.25706	53.1449	86.571	0	4.00269	6.9627	0	0	0	33.1961	0	2.33965	43.1011	0	1210.85	2.22227	0	0	0	5.88933	18.3156
acy-1	126.528	143.552	113.319	45.7034	100.218	8.8782	36.0283	44.9595	156.334	369.147	283.803	436.339	261.148	452.471	486.659	595.631	0	133.17	159.514	51.7751	2.9637	4.89767	72.0454	134.554	31.3278	111.389	53.8843
acy-2	0.836829	0	0	0	23.9964	3.78731	6.54729	0	24.1634	31.9569	0	35.9804	0	66.3993	14.4341	22.475	2436.24	5.43596	0	0	0.975412	0.430898	0	0	1.98887	0	3.77629
acy-3	395.648	99.3017	171.456	171.668	0	66.1751	39.9861	21.1478	1.10479	0	116.978	118.335	408.069	137.781	54.3947	21.7322	43.393	37.5136	103.269	131.625	123.962	2.63821	106.33	193.634	78.7851	538.287	26.9388
acy-4	0.366806	6.30124	0.462783	11.7352	0	0.804027	0	0	54.2975	377.382	5.0151	89.4857	1160.34	29.571	0	13.122	0	8.97198	59.3881	0	180.233	0.268894	0	0	0	15.605	0
add-1	2.13782	0	0	6.02519	13.1815	16.6922	3.42845	0	33.9795	0	0	121.309	66.312	76.4423	304.699	318.741	199.709	0	0	3.94185	102.12	0.316683	29.8373	0	26.976	0	8.41923
add-2	4.95765	7.07754	3.1451	9.79208	7.76634	7.43749	5.40696	9.0925	26.0412	109.29	0	26.6656	34.7222	0	11.6866	16.7587	0	15.0326	9.01235	10.3605	43.474	2.12865	27.1224	0	21.2845	13.4612	24.4745
adm-2	22.332	26.6562	27.7403	54.0886	22.9526	58.2885	69.5009	67.7214	117.623	106.149	112.208	58.8767	41.7396	34.1565	29.6924	249.744	453.067	167.669	51.1416	117.047	128.757	1.05207	71.5855	32.9209	55.2374	124.249	31.6998
adm-4	9.50831	14.805	11.3041	14.388	2.55598	21.5704	7.74986	5.19049	0	24.9564	0	2.35136	17.9856	0	0	11.315	0	5.07357	9.37348	6.80074	44.178	0.194542	40.6667	32.1884	21.934	27.5703	15.3251
adr-1	35.6857	40.8943	115.058	31.5676	97.0628	50.8949	21.9757	22.7978	119.15	140.411	191.354	125.864	147.836	63.937	231.845	171.003	123.439	39.9581	71.6556	55.8373	101.978	147.81	93.9457	86.7875	117.245	66.6704	55.1459
adr-2	12.5905	8.25948	30.0872	16.2434	50.0886	27.7654	25.0176	17.2224	54.5938	16.2714	11.5596	26.8241	9.3633	55.6056	0	39.2546	0	5.41412	23.7957	37.5604	10.3147	124.468	55.9458	45.5937	28.8645	15.8468	35.2222
ads-1	1.90592	0	3.45925	2.7376	5.36519	8.5368	3.40581	0	0	0	0	18.4477	0	0	0	35.171	0	0	38.5282	0	1145.84	1.60814	12.0747	0	3.14843	0	7.26688
adt-1	4.55695	3.81074	9.49938	124.179	2.91806	186.432	1535.28	161.948	36.7436	8.25866	0	6.51802	0	8.25055	0	4.7126	0	194.676	824.702	1419.6	43.3249	1.4002	13.7552	4.85574	104.543	4.10771	3.52333
adt-2	8.41846	26.8949	0.759284	10.5419	2.63751	175.557	268.069	274.344	0	0	17.8215	3.49369	0	0	2.27886	17.5409	0	0	412.807	86.7316	4.1979	0.900879	7.8341	2.47736	112.37	4.23988	2.39862
aex-1	2.57355	3.77069	0	22.4703	0.879169	38.0376	13.8353	4.06296	5.9095	0	3.96033	0	0	0	0	0	0	2.64414	0	16.96	208.419	0.812999	2.67888	0	10.3757	0	5.46909
aex-2	0.73336	58.4888	0	14.0286	0	0.395764	6.5562	0	78.0693	155.032	0	12.4755	22.7236	128.082	0	13.5837	0	2.33168	0	0	0.551791	0.161403	0	0	0	0	5.24112
aex-3	1.16349	1.92059	8.84362	8.48994	81.4755	9.56548	29.2351	28.8077	340.882	540.905	284.327	386.51	924.508	794.26	455.374	955.218	258.391	208.064	48.4835	3.49386	144.401	0.317174	39.362	172.475	82.2865	5.51151	16.5631
aex-5	19.5437	11.2701	0	0	0	2.1038	0.543995	0	2.68092	20.8391	0	8.28457	0	85.4957	0	38.5172	0	3.37921	0	2.49391	280.634	0.851589	2.78138	0	1.417	14.4526	0
aex-6	0.396735	13.1735	0	1.82134	4.71849	2.08485	3.39197	0	85.5008	234.848	83.6757	143.773	147.524	217.633	91.3573	192.073	0	0	9.48112	0	16.4837	0.707628	0	16.3554	3.76709	0	15.304
age-1	54.2874	73.1887	56.098	42.7207	55.8068	124.727	15.9584	75.5794	58.5404	198.352	107.414	110.845	161.962	54.1613	0	31.2997	56.8484	23.6341	156.558	31.1431	109.696	278.749	153.163	102.2	190.966	146.205	103.41
ags-3	69.3266	265.257	157.697	43.8225	15.9748	19.4899	34.7043	8.28322	281.117	346.02	90.0753	229.87	383.525	320.918	32.8671	102.21	193.586	22.8179	72.7665	11.0972	35.4597	2.28536	38.7845	79.0885	22.1279	19.7425	37.8832
agt-1	5.83704	35.9746	5.69963	9.05268	0.692842	10.2651	1.14692	0	10.2679	3.24302	0	8.06913	12.0548	0	0	0	24.4718	3.63316	19.0792	6.91122	11.7453	56.9955	22.0722	28.921	26.417	38.6266	1.79056
agt-2	5.91146	11.4728	8.30408	22.3195	15.9311	5.06262	0	0	4.93527	0	17.9282	6.57301	0	0	0	0	0	5.43596	0	0	4.73094	63.8051	6.76241	7.8262	8.5289	0.808761	9.42403
aha-1	19.7431	35.8259	34.8644	31.2503	8.89488	32.5637	11.4603	45.4152	49.2139	70.4125	99.8908	84.6596	90.6322	57.067	58.7888	21.4301	3.2235	35.8192	68.9263	21.0715	73.2017	2.35544	18.4352	47.5379	38.7197	30.5688	43.5102
ahr-1	2.11388	8.26401	0	9.53934	0	1.1991	1.27398	0	0	920.449	49.4176	1.65862	50.4677	81.5268	0	0	18.5548	1.25503	0	0	6.71251	3.16939	7.01602	0	1.82301	0	1.49975
aip-1	9.7925	9.76981	9.12529	52.2448	70.5915	44.2756	56.6931	68.9392	85.7176	54.5885	50.7849	24.2859	13.2408	0	76.2962	15.1428	13.3252	116.097	64.8666	57.5008	6.46082	32.3205	25.2546	33.2514	26.9513	17.6544	28.9196
air-1	0.646692	1.18064	5.25446	1.87466	0	26.8821	0.580035	0	0	3.03582	0	5.31997	0	0	0	0	0	0	2.0038	0	1.76184	105.198	98.7417	8.94279	40.8744	19.4143	0
air-2	0.378402	0	1.38835	0.676105	0	14.4802	0.290017	0	9.12909	0	0	0	0	0	0	0	0	2.2202	0	4.89141	2.5251	69.1341	42.6438	0	9.17515	2.78574	0
ajm-1	10.5234	33.1952	1538.72	2908.16	264	724.18	286.436	395.861	162.938	21.3828	84.778	28.9176	37.908	938.169	17.5636	9.49903	58.1695	179.392	485.613	592.089	1179.15	4.03692	140.934	104.178	598.606	6.40571	51.2175
aka-1	120.219	144.227	260.593	243.363	95.7133	183.217	109.847	99.4432	220.634	149.79	127.495	201.667	143.682	195.074	22.2703	232.33	132.553	204.897	238.67	216.887	263.496	640.603	255.798	252.186	184.766	209.197	254.974
akt-1	141.098	144.586	80.7615	122.536	73.1477	34.153	66.9527	44.2601	1329.5	711.896	28.0974	160.937	117.386	31.0226	98.5361	182.947	39.0537	135.587	64.694	96.5832	158.857	181.704	69.9874	906.768	91.2678	50.4395	98.5589
akt-2	53.9837	48.4363	97.9171	71.1363	31.7603	70.6151	40.4982	2.23774	56.4705	31.3568	52.0105	116.464	87.1044	140.809	0	34.9298	3.9735	16.796	47.9593	68.625	63.6259	1.20505	68.3	112.291	52.6261	6.18922	140.45
alg-1	60.2926	57.6828	61.8455	48.575	76.6321	46.6178	50.3433	14.6827	72.7617	163.17	117.047	143.633	209.336	183.032	42.2863	72.6605	41.1117	90.2679	183.437	21.7549	144.759	1.09969	128.444	185.212	74.4444	76.6632	84.7519
alg-2	27.4532	59.015	53.7023	45.6393	11.5981	23.2983	13.4548	2.23774	31.3493	6.3479	17.6058	30.3528	18.8569	17.8277	9.47919	17.3788	7.74833	3.45121	14.8265	22.8744	27.5597	0.763902	34.5349	55.5729	36.7814	33.5425	19.2632
alh-1	78.8442	14.6522	41.0432	10.7546	3.51668	64.4764	18.207	16.4058	6.21805	9.23574	0	14.8558	52.417	0	0	0	13.0753	1.84224	21.7379	0	221.928	103.022	53.1537	0	19.5985	86.5367	19.3956
alh-2	0.0989034	0	0	0	0	0.357662	0	0	0	0	0	0	0	0	0	27.8824	0	0	0	0	0.890538	0	0	0	0	0	0
alh-3	2.80033	0	1.44438	7.12101	0	101.399	170.855	286.901	80.1556	0	0	0.130389	0	0	0	0	0	15.663	6.9214	35.7099	197.21	91.2146	11.5506	8.86745	7.14252	10.726	9.60644
alh-4	26.5449	47.8163	60.8416	68.8746	35.466	24.1955	37.7486	51.6523	45.6613	5.13097	24.9384	41.8093	78.0755	87.9506	15.7749	8.06192	35.584	60.2905	18.0555	31.3356	144.347	62.2038	32.4988	63.5702	64.0555	52.278	56.3398
alh-5	0.298119	0	0	0	0	0	26.832	0	5.71596	0	0	0	0	0	0	0	0	0	0	0	72.3508	0	0	0	0	0	0
alh-6	196.464	138.033	164.695	95.4797	65.7453	26.3373	13.887	4.13191	65.9714	140.6	209.317	242.791	244.452	189.471	59.4011	175.451	255.392	52.4484	34.1421	0	45.7521	86.1473	100.435	51.4321	11.973	63.6561	97.5384
alh-7	25.4834	32.1046	1.62309	8.8572	27.9209	9.7866	13.7115	33.1433	21.6364	7.27231	4.00269	28.4712	0	3.99087	0	101.766	6.447	5.49243	5.73092	49.2805	22.5769	18.1573	22.8664	20.9167	10.9123	2.42857	43.4164
alh-8	1399.53	366.843	117.45	86.534	54.3897	16.3612	257.689	225.959	85.8529	12.9592	80.2759	59.5257	29.8123	93.3975	51.6329	21.5867	41.3709	102.883	58.4439	3.89057	474.387	63.7111	159.44	381.633	9.67919	154.746	183.036
alh-9	5.78145	5.66419	0.679897	10.5728	6.06237	33.9184	61.2456	58.017	5.73743	31.3244	0	0.580225	0	13.16	0	8.58303	58.4972	5.43479	0.792424	5.6813	15.608	76.1513	40.1399	13.6227	19.9822	30.9972	11.2842
alh-10	2.56799	4.68737	0	1.08748	0	30.1777	37.9504	15.0204	0	0	0	0	0	0	0	0	0	0	17.9057	24.9455	42.8131	0.35426	2.42319	0	16.5266	11.6678	4.81292
alh-11	19.5512	23.3276	113.878	23.6633	38.5405	32.0411	20.8398	40.1582	58.1932	171.844	44.917	22.4917	40.0111	8.18692	64.0275	61.7887	104.813	16.4166	22.4407	38.3949	112.148	86.8196	79.8657	14.3326	53.1594	86.2462	42.2765
alh-12	188.662	76.6849	0	0	0	1.28811	2.28341	0	0	0	0	5.88624	0	0	0	8.58303	0	1.51199	0	0	50.8045	0.294956	0	0	0.572014	2.30169	0.961328
aly-1	20.4761	84.8282	68.4067	52.0209	63.6331	34.4002	12.4146	10.9919	29.2014	39.9354	5.80235	52.5677	29.184	19.3013	29.0008	25.3648	0	40.4387	21.3096	3.33111	4.73734	0.587484	47.6626	67.3081	43.9708	76.4529	42.0608
aly-2	11.7998	26.0164	15.5687	3.11158	25.346	33.7474	4.71969	23.097	0	7.84414	0	16.4146	20.5933	8.87107	46.1681	3.40473	25.5206	10.0081	15.3478	5.04521	11.6492	113.006	76.6582	20.8532	45.4588	30.9153	7.42689
aly-3	40.0189	70.6385	96.5756	73.0731	89.8309	89.3051	37.5807	42.0135	95.1201	101.598	67.709	118.432	79.079	79.268	55.772	90.5148	150.556	71.3933	81.0168	93.9247	69.0301	125.608	108.996	58.0949	125.393	86.6486	74.789
ama-1	105.133	89.9815	133.199	116.724	105.183	222.861	58.2963	51.9552	159.937	112.132	122.596	117.466	156.354	232.336	32.7712	123.897	82.873	103.29	212.351	142.607	365.925	424.476	578.274	200.144	304.635	344.559	188.476
amt-1	0.186865	0	3.31543	0	0	1.00504	0	0	0	0	0	0	0	0	0	0	0	0.601609	2.08611	0	0	0.0468196	0	0	0	0	0
amt-2	0.437781	0	0	4.74712	0	2.60871	0.800115	0	61.6348	5.77234	0	3.89311	0	0	0	21.5652	0	0	9.9063	0	1.55902	0.412082	3.50123	0	0	0	2.28689
amt-3	0.267388	0	0	4.11672	0	0.839252	7.81412	0	299.821	0	8.91075	138.934	13.1349	22.7262	0	187.507	7.36637	0	15.2101	0	0	0.125088	0	0	5.50922	0	0
amt-4	0.292	4.04832	0	6.2751	0	0.0528325	0	0	3.01434	0	0	0	0	0	0	0	0	1.91188	0	0	230.502	0.0758048	0.925168	0	0	0	0
amx-1	7.32767	5.66199	11.0872	11.352	7.78079	19.288	2.20842	3.34042	53.7435	2.8071	0	23.2534	0	0	0	7.96126	18.7865	18.756	27.067	29.6408	69.4585	0.697447	25.154	51.0077	20.4624	19.6386	14.0612
amx-2	0.961234	0	602.306	927.668	0	188.613	59.2605	1.89418	0	23.0894	15.513	45.4283	41.6667	104.757	0	52.5422	0	0	12.8803	90.9074	9.13812	1.11984	0	17.1373	6.28752	63.255	18.6584
amx-3	0.703192	0	0	0	0	1.64102	5.37519	0	5.82564	0	0	0	0	0	0	11.1489	0	0	0	0	78.0804	0.201705	1.84857	0	1.95637	0	7.34722
anc-1	1864.54	1174.31	1311.22	1728.05	658.427	1780.39	936.656	811.666	858.664	1031.98	1303.86	803.477	1033.94	1084.96	1107.43	880.471	864.569	1016.76	923.177	1625.4	4166.47	20.0946	4000.79	2162.8	2559.62	3816.35	190.513
aos-1	13.0686	26.4541	8.59144	7.5278	39.8154	52.6997	8.12299	2.70864	15.185	52.5155	52.2211	20.845	15.6247	10.7192	11.3216	27.4458	83.72	13.7869	48.7779	12.9145	25.1197	80.5286	60.9298	60.6067	28.5315	17.7945	34.7211
apc-2	8.17506	16.4416	32.1452	17.6502	30.1792	30.7514	1.93656	18.7146	14.0208	2.23192	27.26	5.79338	0	41.3204	0	23.5132	14.0406	13.4902	30.82	19.0965	36.1715	191.254	59.3319	38.6824	35.3242	41.5375	14.884
apc-10	0.124205	0	0	0.372168	0	0	0	0	5.302	0	0	0	0	0	0	0	0	0	0	0	0.722476	65.9099	0	0	0	0	0
apc-11	3.45592	18.6181	9.0451	0	0	9.31139	0.521272	0	19.2193	21.2902	0	4.72528	19.8413	0	0	11.2867	16.4082	10.0304	13.2086	6.48811	2.54401	29.6468	21.1356	10.4658	34.1201	24.4199	0.788412
ape-1	192.066	68.6896	187.727	205.476	29.2543	74.0903	90.9711	180.933	26.4777	76.207	0	141.69	266.612	95.3923	3.22099	46.1492	74.1418	35.7279	61.75	170.232	55.9156	132.836	121.811	185.317	81.0035	31.2797	28.5913
aph-1	6.36916	1.05861	5.25182	8.7496	1.34059	10.1123	0.626697	0	20.8168	0	0	27.3052	29.2398	7.17278	65.5451	19.1446	0	12.6991	12.4417	9.69608	0.879887	31.7395	58.9731	25.9373	16.2272	42.5805	12.3376
aph-2	25.5536	42.3101	18.6006	40.8564	28.2341	59.7364	11.8845	2.55444	37.6255	71.6924	62.2083	65.0532	127.283	111.134	13.2864	61.7484	62.4275	44.1453	27.1365	47.0997	46.4078	190.334	146.774	99.0642	83.4441	117.771	61.7962
apl-1	30.7263	255.525	2008.89	2554.83	1457.67	531.406	945.304	1535.73	5196.4	2786.17	1761.86	2723.01	1722.42	1406.73	1512.66	2628.29	519.821	1507.41	2000.53	1247.63	725.855	5.23452	918.732	1390.33	2441.75	748.536	1915.26
